dist_norm,rel_alt_norm,slope,th_level,risk_label,scenario_id
0.1284560181287348,0.3911212787196719,0.18,0.7,0.9825701535830124,S1_Base
0.12600915923558556,0.3026824604723759,0.06,0.5,0.7954810409900246,S1_Base
0.054669993469504706,0.6434907650073635,0.08,0.9,1.3773575577041042,S1_Base
0.044987479773864365,0.6170050542169329,0.18,0.7,1.1587876709471683,S1_Base
0.06995501068249133,0.5277156746631051,0.24,0.5,0.9592981305497695,S1_Base
0.07965397221605543,0.10812270719259348,0.02,0.5,0.6394420742692386,S1_Base
0.2492106225076751,0.23195094287336263,0.1,0.5,0.5921706536892264,S1_Base
0.12096751957108666,0.17946412348152746,0.14,0.7,0.9772430870302704,S1_Base
2.2326213777340507,0.4800533420861361,0.08,0.7,0.0,S1_Base
0.009614765293034783,0.23210118829961562,0.1,0.7,1.3216789930798714,S1_Base
0.14238268874543122,0.49599085846502466,0.16,0.7,1.040987711644426,S1_Base
0.1960952526109211,0.07552828698115704,0.04,0.5,0.6140256449490067,S1_Base
0.21182773068993802,0.09841992300871652,0.12,0.5,0.6826278050003869,S1_Base
0.3581602558938771,0.7048740956111331,0.18,0.9,0.6467016581340157,S1_Base
0.15003982571834346,0.1388917450665529,0.16,0.7,0.7991298056909786,S1_Base
0.005452497293329012,0.10302671451511161,0.0,0.7,1.3239601956263678,S1_Base
0.03196159328929546,0.3112608896078183,0.02,0.7,1.2290964799397028,S1_Base
0.38728220750569314,0.5051129211884446,0.16,0.9,0.5701342975958896,S1_Base
0.10246308776247436,0.1821028083479247,0.08,0.5,0.7010717672996121,S1_Base
0.05136865309167361,0.6581657016777804,0.14,0.7,1.1363397117094534,S1_Base
0.11254817486463632,0.26139607548961297,0.0,0.5,0.7845074641284802,S1_Base
0.04971523467927168,0.5832294705752546,0.12,0.7,1.1765685203447487,S1_Base
0.14038252481050856,0.5864621877701979,0.04,0.5,0.6959913437572313,S1_Base
0.040742831430672866,0.3536926623805117,0.14,0.7,1.1767018028427252,S1_Base
0.08337952168234186,0.33636297386017505,0.02,0.7,1.0344450929445905,S1_Base
0.22842425228198057,0.2015164879146188,0.1,0.5,0.8549906651842225,S1_Base
0.41429909860234193,0.0837767782742825,0.0,0.5,0.33447106757241407,S1_Base
0.2956749123789221,0.1698559361571119,0.02,0.5,0.4662762026734842,S1_Base
0.03767360088893463,0.35503842360671084,0.06,0.7,1.3242804492432443,S1_Base
0.036782191789972975,0.09856551361473614,0.16,0.7,1.3183656988356272,S1_Base
0.03850437187495251,0.3395206595797957,0.02,0.9,1.4055404254088157,S1_Base
0.5341684918618289,0.16851302718077177,0.06,0.9,0.0,S1_Base
1.430571704998301,0.2144471657799607,0.04,0.7,0.0,S1_Base
0.014003149991419946,0.7139337166710413,0.06,0.5,0.9388135049261965,S1_Base
0.015545937254654703,0.20238199190217376,0.1,0.7,1.3166073984891633,S1_Base
0.10144711972800788,0.5381769031934649,0.24,0.9,1.202120652173361,S1_Base
1.123407668581606,0.32484992925004386,0.26,0.5,0.0,S1_Base
2.4904311959129797,0.6952192071517932,0.04,0.7,0.0,S1_Base
0.20909072606043752,0.7454461524762964,0.04,0.5,0.934409330582221,S1_Base
0.22862158759892148,0.4788437426374044,0.0,0.7,0.8304417930887007,S1_Base
0.5147779665807848,0.6727336401844911,0.24,0.5,0.2639972961724181,S1_Base
3.3015303475183364,0.5846632180075515,0.34,0.5,0.0,S1_Base
0.09792470033006877,0.23475805242279343,0.04,0.9,1.2214479979894386,S1_Base
0.07081946530837484,0.46802590061757376,0.2,0.9,1.2934242364528332,S1_Base
0.0868153975186645,0.04258075425137251,0.4,0.9,0.8698526752765923,S1_Base
0.23831563511002082,0.22013251669613026,0.1,0.5,0.4808347088667919,S1_Base
0.012160053895392986,0.47426518481464486,0.2,0.7,1.2881694023005212,S1_Base
0.16704042218933476,0.16623362058796734,0.0,0.7,0.7677172808505608,S1_Base
0.023287891611672728,0.11159751947026281,0.08,0.7,1.2606912698280057,S1_Base
0.062054684474009185,0.41604752965831915,0.16,0.7,1.1319980364400615,S1_Base
0.13784262503495828,0.3819862180432477,0.2,0.9,1.0835434805249857,S1_Base
2.694493902062509,0.613741378805095,0.4,0.7,0.0,S1_Base
0.24009068177606524,0.4503998476704125,0.02,0.5,0.5965743652670987,S1_Base
0.2274663149275963,0.3522017144876291,0.08,0.5,0.8535201865946866,S1_Base
0.06647015394221892,0.11890074425858005,0.04,0.5,0.745814471004493,S1_Base
0.02259111453388263,0.32223407857157593,0.14,0.7,1.3176781215514137,S1_Base
0.17148995211382972,0.5482864032158997,0.22,0.9,1.0657960277649885,S1_Base
